,Team Name,Team Region,Shots,Goals,Saves,Assists,Time at Full Boost,Total Distance Moved,Time at Supersonic Speed,Time in High Air,Powerslide Distance,Demos Inflicted,Demos Taken,Score,Winner,Demos Per Goal,ShotsPerGoal
3019,TEAM ENVY,North America,50.0,11.0,24.0,8.0,462.41,7424204.0,786.0,326.1,869.0,16.0,11.0,3,True,1.45,4.55
3020,OXYGEN ESPORTS,North America,28.0,3.0,27.0,3.0,322.55,6035274.0,631.09,270.32,908.0,11.0,18.0,1,False,3.67,9.33
3021,FAZE CLAN,North America,46.0,11.0,21.0,9.0,485.36,6192552.0,696.46,308.25,928.0,18.0,11.0,3,True,1.64,4.18
3022,CHARLOTTE PHOENIX,North America,31.0,7.0,24.0,4.0,477.49,6869067.0,596.54,299.89,1238.0,12.0,8.0,3,True,1.71,4.43
3023,AXLE-R8,North America,35.0,5.0,17.0,5.0,605.28,7013051.0,611.41,315.86,1004.0,8.0,12.0,1,False,1.6,7.0
3024,PITTSBURGH KNIGHTS,North America,41.0,8.0,24.0,6.0,693.96,7866137.0,779.57,286.2,1284.0,15.0,23.0,3,True,1.88,5.12
3025,XSET,North America,37.0,9.0,27.0,6.0,524.61,7844823.0,854.43,290.67,1273.0,23.0,15.0,2,False,2.56,4.11
3026,ROGUE,North America,19.0,4.0,22.0,3.0,314.01,6119943.0,645.8,257.49,777.0,13.0,17.0,1,False,3.25,4.75
3027,EUNITED,North America,43.0,14.0,12.0,10.0,487.5,6351516.0,918.75,265.49,728.0,17.0,13.0,3,True,1.21,3.07
3028,OXYGEN ESPORTS,North America,44.0,8.0,26.0,8.0,486.68,8804359.0,878.15,381.58,1304.0,23.0,20.0,3,True,2.88,5.5
3029,EUNITED,North America,46.0,9.0,25.0,7.0,669.9,8831655.0,1192.06,297.61,1110.0,20.0,23.0,2,False,2.22,5.11
3030,COMPLEXITY GAMING,North America,30.0,6.0,15.0,4.0,436.05,4513348.0,524.6,181.22,548.0,11.0,7.0,3,True,1.83,5.0
3031,PITTSBURGH KNIGHTS,North America,20.0,3.0,19.0,2.0,323.54,4475489.0,446.8,163.28,737.0,7.0,11.0,0,False,2.33,6.67
3032,CHARLOTTE PHOENIX,North America,31.0,6.0,24.0,6.0,370.76,5821757.0,556.69,249.9,992.0,12.0,16.0,1,False,2.0,5.17
3033,GHOST GAMING,North America,36.0,11.0,18.0,8.0,415.16,5885808.0,596.13,269.69,896.0,16.0,12.0,3,True,1.45,3.27
3034,RENEGADES,Oceania,77.0,13.0,28.0,9.0,729.62,11500088.0,1305.94,491.94,1915.0,25.0,20.0,3,False,1.92,5.92
3035,R!OT GAMING,Oceania,51.0,13.0,50.0,11.0,562.56,10609910.0,863.51,431.07,1988.0,20.0,25.0,4,True,1.54,3.92
3036,FORKIDDEN,Oceania,47.0,15.0,35.0,14.0,712.91,10673591.0,1291.02,441.5,2150.0,14.0,25.0,4,True,0.93,3.13
3037,DIRE WOLVES,Oceania,52.0,11.0,26.0,8.0,1061.26,10278435.0,959.76,432.08,1501.0,25.0,14.0,3,False,2.27,4.73
3038,BANDITS ESC,Oceania,46.0,13.0,31.0,7.0,986.35,10430726.0,1167.68,449.23,1683.0,27.0,14.0,4,True,2.08,3.54
3039,TEAM EROS,Oceania,49.0,10.0,29.0,7.0,743.0,10606284.0,1226.15,387.92,2078.0,14.0,27.0,3,False,1.4,4.9
3040,GROUND ZERO GAMING,Oceania,34.0,11.0,9.0,9.0,506.44,6188609.0,671.91,328.71,1141.0,12.0,7.0,4,True,1.09,3.09
3041,THE GROGANS,Oceania,17.0,4.0,18.0,1.0,335.23,6053122.0,595.48,270.39,667.0,7.0,12.0,0,False,1.75,4.25
3042,R!OT GAMING,Oceania,31.0,5.0,10.0,5.0,417.23,6219806.0,586.07,236.05,1049.0,12.0,9.0,0,False,2.4,6.2
3043,FORKIDDEN,Oceania,28.0,16.0,23.0,10.0,360.12,6312580.0,749.64,222.97,1251.0,9.0,12.0,4,True,0.56,1.75
3044,BANDITS ESC,Oceania,32.0,4.0,25.0,2.0,709.33,7468237.0,852.45,266.15,1232.0,17.0,14.0,1,False,4.25,8.0
3045,GROUND ZERO GAMING,Oceania,37.0,9.0,25.0,6.0,482.68,7373544.0,812.17,287.19,1409.0,14.0,17.0,4,True,1.56,4.11
3046,FORKIDDEN,Oceania,23.0,4.0,13.0,2.0,412.72,6357253.0,775.7,300.12,1150.0,8.0,10.0,0,False,2.0,5.75
3047,GROUND ZERO GAMING,Oceania,27.0,10.0,10.0,7.0,442.61,6371651.0,709.19,328.06,1169.0,10.0,8.0,4,True,1.0,2.7
3048,FORKIDDEN,Oceania,60.0,20.0,28.0,15.0,745.84,11356223.0,1333.99,451.71,2159.0,18.0,25.0,4,True,0.9,3.0
3049,GROUND ZERO GAMING,Oceania,49.0,13.0,29.0,10.0,776.64,10881920.0,1210.4,448.85,1931.0,25.0,18.0,3,False,1.92,3.77
3050,FORKIDDEN,Oceania,25.0,6.0,21.0,2.0,481.8,7620097.0,940.38,303.44,1358.0,6.0,22.0,1,False,1.0,4.17
3051,GROUND ZERO GAMING,Oceania,38.0,12.0,17.0,10.0,477.24,7457993.0,818.51,309.92,1307.0,22.0,6.0,4,True,1.83,3.17
3052,PULSE CLAN,Asia-Pacific South,38.0,12.0,29.0,10.0,725.28,7849172.0,1021.66,428.48,1174.0,7.0,21.0,4,True,0.58,3.17
3053,WE OWN ALL,Asia-Pacific South,40.0,4.0,19.0,2.0,618.5,7701067.0,846.77,238.51,815.0,21.0,7.0,1,False,5.25,10.0
3054,AZURE ESPORTS,Asia-Pacific South,47.0,12.0,28.0,10.0,749.47,10757730.0,1121.89,341.1,1613.0,28.0,11.0,3,False,2.33,3.92
3055,1NE ESPORTS,Asia-Pacific South,59.0,16.0,25.0,9.0,550.57,10976654.0,1281.5,343.74,1846.0,11.0,28.0,4,True,0.69,3.69
3056,TRIPLEJAWA,Asia-Pacific South,32.0,16.0,17.0,12.0,329.44,6137076.0,580.2,212.0,768.0,13.0,8.0,4,True,0.81,2.0
3057,FROST ESPORTS,Asia-Pacific South,30.0,4.0,14.0,3.0,408.4,6100828.0,547.16,212.99,743.0,8.0,13.0,0,False,2.0,7.5
3058,DISCONNECTED ESPORTS,Asia-Pacific South,50.0,15.0,11.0,9.0,654.93,7881681.0,766.96,246.8,1291.0,10.0,11.0,4,True,0.67,3.33
3059,ATLASGAMING,Asia-Pacific South,22.0,7.0,28.0,5.0,504.79,7735559.0,757.25,261.89,1152.0,11.0,10.0,1,False,1.57,3.14
3060,PULSE CLAN,Asia-Pacific South,50.0,17.0,28.0,13.0,709.12,9007443.0,942.27,415.99,1683.0,7.0,24.0,4,True,0.41,2.94
3061,1NE ESPORTS,Asia-Pacific South,39.0,7.0,24.0,5.0,475.29,9353594.0,1101.77,338.52,1571.0,24.0,7.0,2,False,3.43,5.57
3062,TRIPLEJAWA,Asia-Pacific South,38.0,8.0,27.0,8.0,447.64,7880254.0,694.06,301.56,1001.0,13.0,18.0,2,False,1.62,4.75
3063,DISCONNECTED ESPORTS,Asia-Pacific South,46.0,10.0,25.0,6.0,604.23,7499490.0,699.45,265.65,1180.0,18.0,13.0,4,True,1.8,4.6
3064,PULSE CLAN,Asia-Pacific South,58.0,16.0,22.0,14.0,737.41,9905189.0,1013.22,450.95,1831.0,12.0,14.0,4,True,0.75,3.62
3065,DISCONNECTED ESPORTS,Asia-Pacific South,39.0,10.0,34.0,7.0,639.38,9369469.0,848.11,403.77,1441.0,14.0,12.0,2,False,1.4,3.9
3066,PULSE CLAN,Asia-Pacific South,46.0,10.0,15.0,6.0,626.07,8336603.0,861.69,325.22,1498.0,7.0,7.0,4,True,0.7,4.6
3067,DISCONNECTED ESPORTS,Asia-Pacific South,25.0,6.0,25.0,2.0,632.05,7679859.0,670.17,313.33,1130.0,7.0,7.0,1,False,1.17,4.17
3068,SANDROCK GAMING,Middle East & North Africa,38.0,10.0,17.0,10.0,585.88,6570514.0,717.62,289.84,607.0,11.0,10.0,4,True,1.1,3.8
3069,REVOLUTION,Middle East & North Africa,21.0,3.0,19.0,2.0,360.53,6573180.0,822.64,304.34,846.0,10.0,11.0,0,False,3.33,7.0
3070,SLEEPING,Middle East & North Africa,53.0,24.0,23.0,17.0,583.71,8040733.0,978.41,359.73,891.0,19.0,18.0,4,True,0.79,2.21
3071,SAUDI HURRICANE,Middle East & North Africa,40.0,11.0,24.0,11.0,459.4,8021156.0,864.72,297.57,1002.0,18.0,19.0,2,False,1.64,3.64
3072,ANKAA,Middle East & North Africa,28.0,6.0,25.0,4.0,413.97,6297029.0,741.19,235.02,652.0,10.0,9.0,0,False,1.67,4.67
3073,HAWKS ESPORTS,Middle East & North Africa,41.0,17.0,15.0,12.0,298.87,6330567.0,830.15,202.8,751.0,9.0,10.0,4,True,0.53,2.41
3074,TEAM FALCONS,Middle East & North Africa,41.0,11.0,23.0,7.0,458.62,7053679.0,871.72,290.41,791.0,15.0,15.0,4,True,1.36,3.73
3075,THE ULTIMATES,Middle East & North Africa,32.0,4.0,26.0,3.0,320.56,6833682.0,765.4,272.55,894.0,15.0,15.0,0,False,3.75,8.0
3076,SANDROCK GAMING,Middle East & North Africa,46.0,12.0,16.0,9.0,570.58,6160656.0,717.56,278.49,665.0,13.0,12.0,4,True,1.08,3.83
3077,SLEEPING,Middle East & North Africa,24.0,1.0,27.0,1.0,395.9,5878477.0,630.67,268.03,604.0,12.0,13.0,0,False,12.0,24.0
3078,HAWKS ESPORTS,Middle East & North Africa,33.0,3.0,26.0,3.0,367.8,7591160.0,891.23,340.65,985.0,12.0,13.0,0,False,4.0,11.0
3079,TEAM FALCONS,Middle East & North Africa,45.0,14.0,23.0,10.0,486.55,7746585.0,976.34,315.99,939.0,13.0,12.0,4,True,0.93,3.21
3080,SANDROCK GAMING,Middle East & North Africa,71.0,17.0,29.0,14.0,826.88,11279951.0,1357.64,505.74,1295.0,19.0,31.0,4,True,1.12,4.18
3081,TEAM FALCONS,Middle East & North Africa,51.0,12.0,44.0,10.0,621.13,11209150.0,1310.2,478.9,1356.0,31.0,19.0,3,False,2.58,4.25
3082,SANDROCK GAMING,Middle East & North Africa,38.0,12.0,18.0,9.0,513.81,6409198.0,777.77,256.07,686.0,13.0,16.0,4,True,1.08,3.17
3083,TEAM FALCONS,Middle East & North Africa,25.0,5.0,18.0,4.0,350.44,6438958.0,801.14,234.92,722.0,16.0,13.0,0,False,3.2,5.0
3084,NRG ESPORTS,North America,51.0,10.0,24.0,9.0,659.29,8454674.0,1035.71,308.46,1266.0,17.0,18.0,4,True,1.7,5.1
3085,GHOST GAMING,North America,33.0,4.0,34.0,3.0,498.22,7982838.0,756.22,337.08,1257.0,18.0,17.0,1,False,4.5,8.25
3086,TEAM ENVY,North America,61.0,15.0,50.0,12.0,862.09,13819295.0,1374.28,580.23,1748.0,38.0,34.0,4,True,2.53,4.07
3087,SPACESTATION GAMING,North America,75.0,12.0,34.0,6.0,1038.88,13912825.0,1593.41,486.75,2114.0,34.0,38.0,3,False,2.83,6.25
3088,G2 ESPORTS,North America,52.0,13.0,14.0,12.0,611.96,7841047.0,974.48,356.5,1414.0,14.0,11.0,4,True,1.08,4.0
3089,OXYGEN ESPORTS,North America,28.0,7.0,28.0,6.0,425.33,7442278.0,816.85,366.73,1205.0,11.0,14.0,1,False,1.57,4.0
3090,FAZE CLAN,North America,82.0,19.0,45.0,14.0,1054.71,14145219.0,1609.03,698.21,2122.0,45.0,24.0,4,True,2.37,4.32
3091,COMPLEXITY GAMING,North America,62.0,10.0,42.0,7.0,1133.4,13855228.0,1656.67,651.19,1637.0,24.0,45.0,3,False,2.4,6.2
3092,NRG ESPORTS,North America,47.0,4.0,31.0,4.0,584.79,8516038.0,964.24,318.11,1257.0,17.0,28.0,1,False,4.25,11.75
3093,TEAM ENVY,North America,43.0,9.0,32.0,7.0,531.83,8519551.0,882.34,345.02,1078.0,28.0,17.0,4,True,3.11,4.78
3094,G2 ESPORTS,North America,46.0,13.0,18.0,12.0,543.86,7264474.0,875.68,281.86,1303.0,11.0,17.0,4,True,0.85,3.54
3095,FAZE CLAN,North America,29.0,4.0,21.0,2.0,506.62,7279272.0,845.42,311.84,1050.0,17.0,11.0,0,False,4.25,7.25
3096,TEAM ENVY,North America,57.0,9.0,37.0,8.0,792.86,12551117.0,1338.48,533.38,1542.0,27.0,31.0,3,False,3.0,6.33
3097,G2 ESPORTS,North America,70.0,16.0,36.0,9.0,1008.95,13058354.0,1605.23,484.53,2424.0,31.0,27.0,4,True,1.94,4.38
3098,TEAM ENVY,North America,59.0,14.0,45.0,8.0,855.8,12838107.0,1267.08,570.25,1571.0,27.0,19.0,4,True,1.93,4.21
3099,G2 ESPORTS,North America,69.0,11.0,34.0,10.0,995.19,13315885.0,1575.8,586.58,2467.0,19.0,27.0,3,False,1.73,6.27
3100,TEAM ENVY,North America,52.0,6.0,31.0,4.0,797.39,11059850.0,1146.81,491.79,1295.0,18.0,14.0,3,False,3.0,8.67
3101,G2 ESPORTS,North America,41.0,7.0,35.0,7.0,892.82,11207680.0,1240.41,503.18,1994.0,14.0,18.0,4,True,2.0,5.86
3102,TEAM INHERITS MICRO,Asia-Pacific North,49.0,14.0,14.0,9.0,462.63,7131744.0,568.05,243.48,1117.0,10.0,10.0,3,True,0.71,3.5
3103,TEAM INHERITS MACRO,Asia-Pacific North,23.0,8.0,22.0,5.0,453.49,7053621.0,494.13,214.06,1088.0,10.0,10.0,2,False,1.25,2.88
3104,NOR,Asia-Pacific North,33.0,10.0,31.0,9.0,420.59,7505823.0,615.32,223.03,1208.0,7.0,11.0,2,False,0.7,3.3
3105,MOTI MOTI GAMING,Asia-Pacific North,53.0,10.0,19.0,8.0,411.94,7963083.0,787.35,262.13,1080.0,11.0,7.0,3,True,1.1,5.3
3106,ALOHA,Asia-Pacific North,63.0,22.0,4.0,19.0,521.83,5973937.0,446.24,213.43,686.0,9.0,5.0,3,True,0.41,2.86
3107,RESOLUTE,Asia-Pacific North,11.0,4.0,34.0,3.0,374.47,5712174.0,476.85,183.88,882.0,5.0,9.0,1,False,1.25,2.75
3110,BLAST,Asia-Pacific North,26.0,10.0,17.0,7.0,273.39,4450019.0,361.8,140.75,1080.0,4.0,5.0,3,True,0.4,2.6
3111,HIEMS DANDELION,Asia-Pacific North,27.0,4.0,12.0,3.0,185.04,4448631.0,376.74,173.92,539.0,5.0,4.0,0,False,1.25,6.75
3114,NOVEL FRONTIER,Asia-Pacific North,27.0,7.0,15.0,2.0,321.49,6258254.0,536.25,202.85,1087.0,7.0,5.0,1,False,1.0,3.86
3115,FALL MOUNTAIN,Asia-Pacific North,29.0,8.0,16.0,5.0,479.04,6226448.0,594.89,198.09,1014.0,5.0,7.0,3,True,0.62,3.62
3116,SYLPHIDE,Asia-Pacific North,12.0,2.0,9.0,2.0,203.33,4397760.0,284.34,129.46,646.0,9.0,4.0,0,False,4.5,6.0
3117,DOGMA,Asia-Pacific North,22.0,8.0,9.0,6.0,430.55,4300080.0,365.49,169.1,694.0,4.0,9.0,3,True,0.5,2.75
3118,BLAST,Asia-Pacific North,36.0,8.0,23.0,5.0,387.49,6999451.0,579.83,223.97,1589.0,11.0,13.0,1,False,1.38,4.5
3119,MOTI MOTI GAMING,Asia-Pacific North,44.0,12.0,21.0,11.0,415.13,7306987.0,705.03,208.35,1066.0,13.0,11.0,3,True,1.08,3.67
3122,ALOHA,Asia-Pacific North,27.0,5.0,17.0,3.0,460.69,6532490.0,469.5,253.32,760.0,10.0,10.0,1,False,2.0,5.4
3123,KOKEKOKE KICKERS,Asia-Pacific North,32.0,7.0,19.0,6.0,303.18,6897568.0,661.67,247.66,919.0,10.0,10.0,3,True,1.43,4.57
3124,FALL MOUNTAIN,Asia-Pacific North,37.0,6.0,14.0,3.0,478.91,6333752.0,567.66,185.54,1055.0,12.0,17.0,2,False,2.0,6.17
3125,TEAM INHERITS MICRO,Asia-Pacific North,23.0,8.0,25.0,7.0,443.86,6142128.0,436.35,206.38,983.0,17.0,12.0,3,True,2.12,2.88
3126,NOR,Asia-Pacific North,26.0,12.0,9.0,9.0,297.05,4462266.0,368.07,162.74,808.0,9.0,8.0,3,True,0.75,2.17
3127,HIEMS DANDELION,Asia-Pacific North,13.0,3.0,9.0,2.0,186.76,4472419.0,421.07,157.42,560.0,8.0,9.0,0,False,2.67,4.33
3128,N CHIKI,Asia-Pacific North,30.0,15.0,18.0,8.0,571.15,5825501.0,503.37,223.9,801.0,8.0,9.0,3,True,0.53,2.0
3129,SYLPHIDE,Asia-Pacific North,30.0,7.0,12.0,7.0,293.61,5882715.0,370.9,206.48,964.0,9.0,8.0,1,False,1.29,4.29
3132,TEAM INHERITS MACRO,Asia-Pacific North,22.0,10.0,19.0,9.0,296.78,6109361.0,506.29,196.11,1023.0,7.0,12.0,1,False,0.7,2.2
3133,NOVEL FRONTIER,Asia-Pacific North,44.0,17.0,11.0,14.0,411.3,6327559.0,599.85,215.4,1117.0,12.0,7.0,3,True,0.71,2.59
3134,DOGMA,Asia-Pacific North,30.0,7.0,14.0,5.0,563.41,7262951.0,598.58,260.09,1284.0,6.0,12.0,1,False,0.86,4.29
3135,TEAM INHERITS MICRO,Asia-Pacific North,25.0,10.0,17.0,9.0,558.8,6997044.0,539.23,251.21,1148.0,12.0,6.0,3,True,1.2,2.5
3136,KOKEKOKE KICKERS,Asia-Pacific North,27.0,5.0,14.0,4.0,279.57,5995403.0,551.8,204.37,873.0,4.0,6.0,1,False,0.8,5.4
3137,MOTI MOTI GAMING,Asia-Pacific North,34.0,13.0,16.0,8.0,332.18,6112301.0,583.39,210.51,845.0,6.0,4.0,3,True,0.46,2.62
3138,BLAST,Asia-Pacific North,26.0,10.0,13.0,8.0,334.31,5380107.0,455.72,190.18,1235.0,7.0,7.0,3,True,0.7,2.6
3139,NOVEL FRONTIER,Asia-Pacific North,23.0,4.0,11.0,3.0,312.22,5477196.0,454.5,184.51,928.0,7.0,7.0,0,False,1.75,5.75
3142,ALOHA,Asia-Pacific North,34.0,9.0,12.0,6.0,386.54,4389328.0,335.59,163.54,497.0,4.0,7.0,3,True,0.44,3.78
3143,WIZARD LIZARD,Asia-Pacific North,18.0,3.0,20.0,2.0,184.63,4575337.0,432.45,158.07,656.0,7.0,4.0,0,False,2.33,6.0
3144,BBS HAYABUSA,Asia-Pacific North,18.0,4.0,13.0,4.0,338.88,4494860.0,405.58,156.9,591.0,5.0,9.0,0,False,1.25,4.5
3145,NOR,Asia-Pacific North,27.0,9.0,11.0,5.0,260.22,4427131.0,354.38,131.58,793.0,9.0,5.0,3,True,1.0,3.0
3146,TEAM INHERITS MACRO,Asia-Pacific North,32.0,11.0,10.0,9.0,158.64,4491290.0,358.81,136.04,767.0,9.0,7.0,3,True,0.82,2.91
3147,HIEMS DANDELION,Asia-Pacific North,11.0,0.0,14.0,0.0,234.02,4619898.0,484.8,132.27,508.0,7.0,9.0,1,False,inf,inf
3148,SYLPHIDE,Asia-Pacific North,24.0,8.0,8.0,6.0,243.55,4274278.0,256.12,160.53,669.0,1.0,9.0,3,True,0.12,3.0
3149,RESOLUTE,Asia-Pacific North,15.0,4.0,14.0,3.0,213.46,4113543.0,331.68,127.09,612.0,9.0,1.0,0,False,2.25,3.75
3150,DOGMA,Asia-Pacific North,43.0,11.0,15.0,7.0,450.73,5741341.0,517.93,203.43,996.0,7.0,11.0,3,True,0.64,3.91
3151,ALOHA,Asia-Pacific North,23.0,1.0,22.0,0.0,429.88,5454388.0,374.96,204.79,668.0,11.0,7.0,1,False,11.0,23.0
3152,KOKEKOKE KICKERS,Asia-Pacific North,43.0,11.0,14.0,10.0,473.47,8633079.0,737.94,323.66,1157.0,14.0,12.0,2,False,1.27,3.91
3153,BLAST,Asia-Pacific North,29.0,10.0,23.0,8.0,600.18,8534088.0,716.72,326.0,1803.0,12.0,14.0,3,True,1.2,2.9
3154,NOR,Asia-Pacific North,43.0,12.0,16.0,10.0,415.98,7082894.0,556.8,235.55,1228.0,14.0,18.0,3,True,1.17,3.58
3155,N CHIKI,Asia-Pacific North,33.0,9.0,20.0,8.0,525.61,7280845.0,621.77,277.79,1012.0,18.0,14.0,2,False,2.0,3.67
3156,WIZARD LIZARD,Asia-Pacific North,21.0,2.0,8.0,1.0,253.8,5201041.0,477.99,120.63,773.0,7.0,9.0,0,False,3.5,10.5
3157,SYLPHIDE,Asia-Pacific North,18.0,6.0,10.0,5.0,205.0,4856526.0,262.46,154.73,745.0,9.0,7.0,3,True,1.5,3.0
3158,FALL MOUNTAIN,Asia-Pacific North,48.0,19.0,18.0,15.0,454.01,7755602.0,739.35,263.76,1427.0,12.0,10.0,3,True,0.63,2.53
3159,TEAM INHERITS MACRO,Asia-Pacific North,33.0,11.0,18.0,10.0,370.41,7524719.0,653.56,277.86,1163.0,10.0,12.0,2,False,0.91,3.0
3160,NOVEL FRONTIER,Asia-Pacific North,31.0,13.0,7.0,12.0,264.59,4542734.0,418.48,167.26,643.0,4.0,3.0,3,True,0.31,2.38
3161,BBS HAYABUSA,Asia-Pacific North,11.0,0.0,13.0,0.0,337.05,4358029.0,335.26,171.2,528.0,3.0,4.0,0,False,inf,inf
3162,N CHIKI,Asia-Pacific North,21.0,7.0,27.0,5.0,504.55,7142752.0,629.65,263.36,1091.0,17.0,18.0,2,False,2.43,3.0
3163,NOVEL FRONTIER,Asia-Pacific North,47.0,10.0,13.0,5.0,477.73,7558240.0,712.18,221.69,1060.0,18.0,17.0,3,True,1.8,4.7
3164,ALOHA,Asia-Pacific North,50.0,11.0,15.0,9.0,828.28,8658345.0,596.13,307.64,969.0,11.0,11.0,2,False,1.0,4.55
3165,FALL MOUNTAIN,Asia-Pacific North,35.0,12.0,28.0,9.0,568.84,9146939.0,824.25,300.9,1520.0,11.0,11.0,3,True,0.92,2.92
3166,KOKEKOKE KICKERS,Asia-Pacific North,20.0,9.0,9.0,8.0,289.0,4418248.0,335.9,184.46,630.0,5.0,5.0,3,True,0.56,2.22
3167,SYLPHIDE,Asia-Pacific North,18.0,5.0,5.0,4.0,242.2,4308373.0,247.54,173.89,677.0,5.0,5.0,0,False,1.0,3.6
3168,EVIL GENIUSES,Europe,29.0,7.0,12.0,6.0,463.94,5718470.0,533.38,277.06,836.0,10.0,13.0,3,True,1.43,4.14
3169,WYLDE,Europe,19.0,4.0,15.0,3.0,369.17,5472929.0,451.65,250.25,592.0,13.0,10.0,1,False,3.25,4.75
3170,KARMINE CORP,Europe,27.0,10.0,5.0,10.0,284.51,4361857.0,409.81,217.44,830.0,8.0,12.0,3,True,0.8,2.7
3171,LILLE ESPORT,Europe,9.0,2.0,12.0,2.0,248.18,4339604.0,373.43,212.01,630.0,12.0,8.0,0,False,6.0,4.5
3172,WILLIAMS RESOLVE,Europe,33.0,7.0,20.0,6.0,476.85,7332615.0,654.98,305.97,708.0,15.0,13.0,3,True,2.14,4.71
3173,TEAM SINGULARITY,Europe,38.0,5.0,19.0,4.0,457.07,7786581.0,881.63,306.97,1170.0,13.0,15.0,2,False,2.6,7.6
3174,SK GAMING,Europe,25.0,6.0,10.0,3.0,397.41,4342568.0,432.17,177.6,636.0,12.0,5.0,3,True,2.0,4.17
3175,BS+COMPETITION,Europe,13.0,0.0,14.0,0.0,345.51,4058075.0,287.08,156.71,534.0,5.0,12.0,0,False,inf,inf
3176,TEAM QUESO,Europe,39.0,3.0,25.0,3.0,635.61,7217089.0,714.91,306.72,927.0,20.0,9.0,2,False,6.67,13.0
3177,GERMARK,Europe,39.0,6.0,31.0,5.0,458.42,6903850.0,634.38,284.76,923.0,9.0,20.0,3,True,1.5,6.5
3178,VODAFONE GIANTS,Europe,55.0,17.0,25.0,16.0,609.33,8134744.0,922.66,379.51,1084.0,22.0,6.0,3,True,1.29,3.24
3179,TEAM LIQUID,Europe,37.0,8.0,27.0,8.0,488.86,7784359.0,862.92,341.84,1090.0,6.0,22.0,2,False,0.75,4.62
3180,FC BARCELONA,Europe,33.0,13.0,17.0,10.0,346.94,4516856.0,445.33,221.9,610.0,7.0,11.0,3,True,0.54,2.54
3181,KUXIR'S MINIONS,Europe,24.0,4.0,15.0,3.0,333.2,4679529.0,463.23,180.22,603.0,11.0,7.0,0,False,2.75,6.0
3182,NATUS VINCERE,Europe,33.0,4.0,23.0,3.0,604.7,6982910.0,623.02,300.09,1071.0,11.0,9.0,2,False,2.75,8.25
3183,GUILD ESPORTS,Europe,37.0,5.0,25.0,4.0,765.04,7159394.0,677.32,293.19,1096.0,9.0,11.0,3,True,1.8,7.4
3184,KARMINE CORP,Europe,34.0,15.0,10.0,14.0,286.06,4630105.0,472.23,208.68,808.0,13.0,8.0,3,True,0.87,2.27
3185,GERMARK,Europe,15.0,4.0,12.0,3.0,284.58,4478629.0,450.66,195.46,537.0,8.0,13.0,0,False,2.0,3.75
3186,SK GAMING,Europe,21.0,2.0,20.0,1.0,414.99,5695543.0,514.58,286.84,818.0,7.0,10.0,1,False,3.5,10.5
3187,GUILD ESPORTS,Europe,36.0,7.0,18.0,4.0,636.25,5867531.0,600.83,254.34,829.0,10.0,7.0,3,True,1.43,5.14
3188,FC BARCELONA,Europe,36.0,12.0,35.0,9.0,562.49,9147090.0,875.89,423.91,1203.0,11.0,29.0,3,True,0.92,3.0
3189,VODAFONE GIANTS,Europe,51.0,8.0,20.0,7.0,672.88,9300864.0,1012.21,398.25,1187.0,29.0,11.0,2,False,3.62,6.38
3190,EVIL GENIUSES,Europe,47.0,12.0,26.0,11.0,569.42,7393125.0,688.44,349.58,1143.0,9.0,21.0,2,False,0.75,3.92
3191,WILLIAMS RESOLVE,Europe,38.0,9.0,28.0,6.0,567.12,7568925.0,722.22,318.08,751.0,21.0,9.0,3,True,2.33,4.22
3192,TEAM QUESO,Europe,28.0,9.0,9.0,8.0,607.95,5832004.0,608.73,254.06,808.0,10.0,19.0,3,True,1.11,3.11
3193,LILLE ESPORT,Europe,19.0,3.0,17.0,2.0,393.09,5646697.0,466.68,263.36,803.0,19.0,10.0,1,False,6.33,6.33
3194,NATUS VINCERE,Europe,28.0,8.0,15.0,8.0,537.04,5885075.0,558.54,259.98,886.0,12.0,7.0,3,True,1.5,3.5
3195,BS+COMPETITION,Europe,19.0,4.0,15.0,1.0,444.56,5690763.0,463.21,220.24,741.0,7.0,12.0,1,False,1.75,4.75
3196,TEAM LIQUID,Europe,55.0,9.0,26.0,8.0,620.62,8581856.0,1003.97,345.63,1208.0,11.0,23.0,2,False,1.22,6.11
3197,KUXIR'S MINIONS,Europe,42.0,13.0,37.0,9.0,630.29,8712110.0,946.52,320.3,1180.0,23.0,11.0,3,True,1.77,3.23
3198,TEAM SINGULARITY,Europe,48.0,7.0,20.0,6.0,500.38,8871633.0,1001.24,343.65,1313.0,18.0,10.0,2,False,2.57,6.86
3199,WYLDE,Europe,33.0,11.0,27.0,10.0,477.02,8006660.0,725.86,337.19,844.0,10.0,18.0,3,True,0.91,3.0
3200,KARMINE CORP,Europe,27.0,5.0,18.0,5.0,297.48,5977940.0,610.4,287.39,1043.0,13.0,13.0,1,False,2.6,5.4
3201,WILLIAMS RESOLVE,Europe,27.0,8.0,17.0,7.0,400.52,5789949.0,553.55,284.13,584.0,13.0,13.0,3,True,1.62,3.38
3202,FC BARCELONA,Europe,21.0,6.0,19.0,6.0,325.79,4472142.0,369.57,227.17,678.0,6.0,7.0,3,True,1.0,3.5
3203,GUILD ESPORTS,Europe,27.0,2.0,11.0,2.0,434.08,4744842.0,458.23,221.94,735.0,7.0,6.0,0,False,3.5,13.5
3204,EVIL GENIUSES,Europe,40.0,9.0,22.0,5.0,544.63,7363513.0,648.69,312.71,1124.0,13.0,17.0,2,False,1.44,4.44
