,Team Name,Team Region,Shots,Goals,Saves,Assists,Time at Full Boost,Total Distance Moved,Time at Supersonic Speed,Time in High Air,Powerslide Distance,Demos Inflicted,Demos Taken,Score,Winner,Demos Per Goal,ShotsPerGoal
390,CHARLOTTE PHOENIX,North America,43.0,4.0,28.0,3.0,605.73,7535383.0,640.08,324.43,1283.0,17.0,12.0,1,False,4.25,10.75
391,SUSQUEHANNA SONIQS,North America,39.0,7.0,32.0,6.0,542.45,8016840.0,917.63,311.72,1263.0,12.0,17.0,3,True,1.71,5.57
392,G2 ESPORTS,North America,25.0,5.0,8.0,5.0,334.02,4501792.0,513.34,233.09,849.0,11.0,10.0,3,True,2.2,5.0
393,GHOST GAMING,North America,15.0,2.0,15.0,2.0,340.5,4373900.0,466.7,192.51,697.0,10.0,11.0,0,False,5.0,7.5
394,TRUE NEUTRAL,North America,36.0,10.0,20.0,8.0,488.56,6249401.0,815.59,277.89,740.0,11.0,10.0,3,True,1.1,3.6
395,SUSQUEHANNA SONIQS,North America,27.0,5.0,23.0,3.0,418.34,6182200.0,741.55,301.69,936.0,10.0,11.0,1,False,2.0,5.4
396,TORRENT,North America,20.0,5.0,25.0,3.0,455.73,5111755.0,548.18,220.62,682.0,7.0,11.0,0,False,1.4,4.0
397,VERSION1,North America,41.0,9.0,13.0,9.0,319.26,5446705.0,660.57,243.51,775.0,11.0,7.0,3,True,1.22,4.56
398,SPACESTATION GAMING,North America,36.0,7.0,25.0,7.0,558.11,7630227.0,825.05,339.16,1065.0,12.0,12.0,4,True,1.71,5.14
399,TRUE NEUTRAL,North America,30.0,3.0,23.0,1.0,648.96,7826638.0,1045.42,359.69,984.0,12.0,12.0,0,False,4.0,10.0
400,THREE RATS,Asia-Pacific South,24.0,12.0,13.0,11.0,334.88,5079270.0,817.84,260.55,838.0,19.0,7.0,3,True,1.58,2.0
401,DELUXEDREAM,Asia-Pacific South,20.0,7.0,7.0,6.0,241.63,4651568.0,555.93,151.87,580.0,7.0,19.0,0,False,1.0,2.86
404,PINEAPPLE CAKE,Asia-Pacific South,31.0,12.0,9.0,11.0,384.28,4692129.0,400.11,192.04,653.0,6.0,6.0,3,True,0.5,2.58
405,TEAM NAZGUL,Asia-Pacific South,14.0,3.0,11.0,0.0,219.08,4399347.0,309.98,143.27,584.0,6.0,6.0,0,False,2.0,4.67
408,1NE ESPORTS,Asia-Pacific South,29.0,13.0,10.0,11.0,348.64,4496542.0,357.06,174.65,713.0,13.0,4.0,3,True,1.0,2.23
409,HIRAETH,Asia-Pacific South,15.0,3.0,13.0,2.0,246.48,4297908.0,382.62,123.24,798.0,4.0,13.0,0,False,1.33,5.0
410,TEAM ATELIER,Asia-Pacific South,32.0,8.0,15.0,6.0,517.76,7380464.0,602.46,274.41,993.0,6.0,12.0,3,True,0.75,4.0
411,DN ENTERPRISES,Asia-Pacific South,33.0,12.0,20.0,10.0,560.33,7054464.0,493.7,299.43,923.0,12.0,6.0,2,False,1.0,2.75
412,HALAL MEN,Asia-Pacific South,25.0,9.0,12.0,5.0,312.44,4794189.0,566.5,164.69,622.0,12.0,9.0,3,True,1.33,2.78
413,FLU ESPORTS,Asia-Pacific South,18.0,4.0,9.0,4.0,321.44,4868822.0,564.08,134.28,682.0,9.0,12.0,0,False,2.25,4.5
414,AZURE ESPORTS,Asia-Pacific South,31.0,11.0,14.0,8.0,348.12,4700264.0,486.72,167.32,720.0,6.0,6.0,3,True,0.55,2.82
415,ZNTRA,Asia-Pacific South,21.0,4.0,15.0,2.0,224.9,4624160.0,491.29,119.92,678.0,6.0,6.0,0,False,1.5,5.25
436,DN ENTERPRISES,Asia-Pacific South,40.0,17.0,6.0,14.0,496.54,4589206.0,396.13,180.68,546.0,5.0,9.0,3,True,0.29,2.35
437,POWER OF YOGURT,Asia-Pacific South,16.0,8.0,12.0,6.0,203.85,4950608.0,568.18,162.32,819.0,9.0,5.0,0,False,1.12,2.0
446,DELUXEDREAM,Asia-Pacific South,46.0,22.0,9.0,15.0,363.15,6681979.0,844.01,233.45,773.0,9.0,7.0,3,True,0.41,2.09
447,DOTHRAKI,Asia-Pacific South,22.0,10.0,15.0,4.0,535.39,6415479.0,634.4,159.26,708.0,7.0,9.0,1,False,0.7,2.2
458,YOU'RE THROWING,Middle East & North Africa,26.0,5.0,11.0,5.0,253.78,4847755.0,613.8,158.0,708.0,7.0,9.0,0,False,1.4,5.2
459,OWLARMY,Middle East & North Africa,23.0,10.0,17.0,8.0,196.74,4780892.0,613.59,175.23,823.0,9.0,7.0,3,True,0.9,2.3
462,INVADERS,Middle East & North Africa,32.0,8.0,22.0,6.0,565.4,6745444.0,691.42,263.15,1089.0,13.0,20.0,1,False,1.62,4.0
463,THE EVIL ESPORTS,Middle East & North Africa,37.0,9.0,16.0,9.0,380.33,7013821.0,917.48,257.94,933.0,20.0,16.0,3,True,2.22,4.11
480,INVADERS,Middle East & North Africa,36.0,13.0,11.0,9.0,463.73,6412748.0,713.21,298.97,1048.0,8.0,8.0,3,True,0.62,2.77
481,FRENZY ESPORTS,Middle East & North Africa,21.0,8.0,18.0,7.0,384.37,6226848.0,642.93,266.29,814.0,8.0,8.0,1,False,1.0,2.62
484,YOU'RE THROWING,Middle East & North Africa,38.0,12.0,22.0,10.0,506.44,7903806.0,1020.2,274.4,1072.0,14.0,17.0,3,True,1.17,3.17
485,TEAM D7K,Middle East & North Africa,41.0,10.0,16.0,9.0,407.93,7859032.0,880.34,280.18,938.0,17.0,14.0,2,False,1.7,4.1
496,TEAM ALKE,Asia-Pacific South,43.0,13.0,3.0,11.0,377.28,4930654.0,677.11,217.83,817.0,6.0,14.0,3,True,0.46,3.31
497,DELUXEDREAM,Asia-Pacific South,12.0,6.0,14.0,4.0,197.11,4605930.0,513.2,167.19,550.0,14.0,6.0,0,False,2.33,2.0
498,1NE ESPORTS,Asia-Pacific South,27.0,8.0,10.0,4.0,296.44,4399890.0,354.12,162.34,678.0,6.0,6.0,3,True,0.75,3.38
499,HIRAETH,Asia-Pacific South,12.0,1.0,9.0,0.0,185.02,4222914.0,376.19,117.01,701.0,6.0,6.0,0,False,6.0,12.0
500,HALAL MEN,Asia-Pacific South,24.0,11.0,10.0,7.0,328.78,4637293.0,537.27,150.83,579.0,10.0,6.0,3,True,0.91,2.18
501,FLU ESPORTS,Asia-Pacific South,15.0,2.0,8.0,1.0,268.32,4557135.0,515.46,144.92,655.0,6.0,10.0,0,False,3.0,7.5
502,PINEAPPLE CAKE,Asia-Pacific South,24.0,13.0,9.0,9.0,377.18,4777855.0,461.22,187.94,641.0,10.0,7.0,3,True,0.77,1.85
503,TEAM NAZGUL,Asia-Pacific South,22.0,8.0,9.0,8.0,195.86,4811445.0,435.64,148.31,705.0,7.0,10.0,0,False,0.88,2.75
504,AZURE ESPORTS,Asia-Pacific South,53.0,14.0,13.0,11.0,535.38,6720252.0,623.17,248.28,1080.0,14.0,8.0,3,True,1.0,3.79
505,ZNTRA,Asia-Pacific South,29.0,8.0,32.0,6.0,394.11,6696515.0,737.82,198.0,1109.0,8.0,14.0,1,False,1.0,3.62
506,TEAM ATELIER,Asia-Pacific South,39.0,7.0,19.0,6.0,550.16,7750007.0,659.4,259.12,1132.0,17.0,1.0,2,False,2.43,5.57
507,TEAM CELESTIAL,Asia-Pacific South,32.0,10.0,23.0,9.0,604.05,7109737.0,407.36,293.93,963.0,1.0,17.0,3,True,0.1,3.2
508,SCUBADRIVERS,Asia-Pacific South,28.0,6.0,25.0,5.0,337.56,7459840.0,787.27,222.92,1224.0,8.0,17.0,2,False,1.33,4.67
509,ASIA MANJI,Asia-Pacific South,40.0,9.0,15.0,7.0,414.12,7539439.0,843.75,196.94,1075.0,17.0,8.0,3,True,1.89,4.44
510,SHOGUNS,Asia-Pacific South,18.0,6.0,24.0,4.0,323.89,6388823.0,568.54,236.0,800.0,10.0,10.0,1,False,1.67,3.0
511,TRIPLEJAWA,Asia-Pacific South,53.0,19.0,10.0,15.0,429.03,6658751.0,827.05,299.35,801.0,10.0,10.0,3,True,0.53,2.79
512,TEAM ALKE,Asia-Pacific South,24.0,8.0,7.0,7.0,388.65,4698520.0,542.1,230.41,985.0,6.0,4.0,3,True,0.75,3.0
513,TEAM CELESTIAL,Asia-Pacific South,13.0,4.0,8.0,4.0,343.35,4239156.0,269.49,228.08,631.0,4.0,6.0,0,False,1.0,3.25
514,1NE ESPORTS,Asia-Pacific South,45.0,14.0,23.0,9.0,411.87,7538390.0,647.51,268.95,1275.0,9.0,24.0,3,True,0.64,3.21
515,ASIA MANJI,Asia-Pacific South,32.0,5.0,21.0,3.0,456.83,7847761.0,953.84,265.44,1075.0,24.0,9.0,1,False,4.8,6.4
516,HALAL MEN,Asia-Pacific South,32.0,6.0,17.0,5.0,478.14,6471029.0,629.1,239.11,832.0,5.0,9.0,1,False,0.83,5.33
517,TRIPLEJAWA,Asia-Pacific South,33.0,13.0,20.0,12.0,415.98,6773900.0,720.64,232.89,946.0,9.0,5.0,3,True,0.69,2.54
518,PINEAPPLE CAKE,Asia-Pacific South,29.0,5.0,12.0,5.0,366.79,5979726.0,547.55,179.89,859.0,10.0,16.0,1,False,2.0,5.8
519,AZURE ESPORTS,Asia-Pacific South,35.0,13.0,20.0,10.0,444.1,5936596.0,546.82,183.6,940.0,16.0,10.0,3,True,1.23,2.69
520,TEAM ATELIER,Asia-Pacific South,30.0,12.0,7.0,9.0,365.45,4936055.0,470.25,191.73,687.0,13.0,11.0,3,True,1.08,2.5
521,DELUXEDREAM,Asia-Pacific South,15.0,7.0,11.0,4.0,209.77,5027703.0,589.14,164.72,684.0,11.0,13.0,0,False,1.57,2.14
522,SCUBADRIVERS,Asia-Pacific South,29.0,9.0,12.0,7.0,341.66,6118850.0,594.41,194.21,964.0,14.0,4.0,3,True,1.56,3.22
523,HIRAETH,Asia-Pacific South,24.0,9.0,17.0,5.0,299.46,5798192.0,554.73,172.89,970.0,4.0,14.0,1,False,0.44,2.67
524,SHOGUNS,Asia-Pacific South,23.0,8.0,15.0,6.0,277.99,5305426.0,464.11,146.56,711.0,5.0,10.0,0,False,0.62,2.88
525,FLU ESPORTS,Asia-Pacific South,38.0,15.0,12.0,13.0,382.06,5444618.0,580.96,160.74,780.0,10.0,5.0,3,True,0.67,2.53
526,ZNTRA,Asia-Pacific South,43.0,14.0,13.0,8.0,284.97,5095543.0,546.93,124.71,798.0,12.0,3.0,3,True,0.86,3.07
527,TEAM NAZGUL,Asia-Pacific South,26.0,10.0,20.0,8.0,208.56,4872480.0,400.57,125.47,783.0,3.0,12.0,1,False,0.3,2.6
528,TEAM ALKE,Asia-Pacific South,32.0,12.0,9.0,11.0,421.75,5229894.0,583.1,250.08,940.0,6.0,6.0,3,True,0.5,2.67
529,TRIPLEJAWA,Asia-Pacific South,18.0,5.0,19.0,3.0,255.79,5200718.0,580.66,184.65,740.0,6.0,6.0,0,False,1.2,3.6
530,1NE ESPORTS,Asia-Pacific South,38.0,6.0,14.0,5.0,257.48,4927184.0,431.18,156.2,887.0,2.0,8.0,1,False,0.33,6.33
531,AZURE ESPORTS,Asia-Pacific South,28.0,7.0,21.0,6.0,346.61,5020750.0,484.15,171.7,847.0,8.0,2.0,3,True,1.14,4.0
532,TEAM ATELIER,Asia-Pacific South,21.0,8.0,12.0,6.0,313.88,4694176.0,437.71,147.41,667.0,9.0,13.0,3,True,1.12,2.62
533,ASIA MANJI,Asia-Pacific South,21.0,4.0,7.0,3.0,269.98,4956483.0,605.29,133.27,648.0,13.0,9.0,0,False,3.25,5.25
534,HALAL MEN,Asia-Pacific South,36.0,11.0,34.0,6.0,734.72,7484098.0,770.86,229.47,906.0,16.0,4.0,3,True,1.45,3.27
535,TEAM CELESTIAL,Asia-Pacific South,44.0,7.0,20.0,5.0,588.9,6915186.0,444.28,246.58,1008.0,4.0,16.0,2,False,0.57,6.29
536,PINEAPPLE CAKE,Asia-Pacific South,22.0,6.0,10.0,6.0,375.94,4596143.0,461.05,164.54,601.0,5.0,6.0,0,False,0.83,3.67
537,FLU ESPORTS,Asia-Pacific South,21.0,10.0,9.0,9.0,300.86,4490800.0,442.97,123.99,673.0,6.0,5.0,3,True,0.6,2.1
538,SCUBADRIVERS,Asia-Pacific South,34.0,7.0,14.0,4.0,367.36,6573955.0,708.36,193.82,1167.0,8.0,4.0,1,False,1.14,4.86
539,ZNTRA,Asia-Pacific South,36.0,13.0,23.0,9.0,450.51,6507519.0,727.99,214.79,927.0,4.0,8.0,3,True,0.31,2.77
540,SHOGUNS,Asia-Pacific South,14.0,5.0,13.0,3.0,251.13,4499200.0,365.57,152.35,600.0,5.0,8.0,0,False,1.0,2.8
541,DELUXEDREAM,Asia-Pacific South,29.0,12.0,9.0,11.0,261.37,4800871.0,600.01,139.63,593.0,8.0,5.0,3,True,0.67,2.42
544,TEAM ATELIER,Asia-Pacific South,13.0,3.0,13.0,3.0,333.1,4650552.0,446.66,153.03,599.0,6.0,15.0,0,False,2.0,4.33
545,TRIPLEJAWA,Asia-Pacific South,29.0,11.0,10.0,10.0,323.4,4744555.0,564.1,156.32,635.0,15.0,6.0,3,True,1.36,2.64
546,1NE ESPORTS,Asia-Pacific South,38.0,10.0,18.0,6.0,391.77,5761343.0,489.97,209.27,938.0,14.0,11.0,3,True,1.4,3.8
547,HALAL MEN,Asia-Pacific South,33.0,5.0,22.0,4.0,471.8,5606852.0,511.89,176.18,703.0,11.0,14.0,2,False,2.2,6.6
548,FLU ESPORTS,Asia-Pacific South,16.0,4.0,15.0,3.0,269.05,4623721.0,478.19,131.1,667.0,4.0,5.0,0,False,1.0,4.0
