team_name,team_region,core_shots,core_goals,core_saves,core_assists,movement_total_distance,air_time,defense_time,offense_time,demo_inflicted,score,winner,event,event_split
OPTIC GAMING,North America,46.0,11.0,25.0,10.0,9672121.0,442.82,4072.42,2271.75,30.0,2,False,World Championship,Summer
RENEGADES,Oceania,43.0,12.0,21.0,10.0,9333001.0,418.04,4260.49,2040.98,19.0,4,True,World Championship,Summer
SPACESTATION GAMING,North America,31.0,3.0,17.0,3.0,7260552.0,311.14,2898.65,1873.32,16.0,0,False,World Championship,Summer
DIGNITAS,Europe,27.0,10.0,24.0,9.0,6841381.0,314.39,3329.6,1450.09,18.0,4,True,World Championship,Summer
VERSION1,North America,38.0,9.0,31.0,9.0,7630609.0,377.28,3723.69,1587.49,16.0,4,True,World Championship,Summer
THE CLUB,South America,42.0,8.0,22.0,5.0,8096367.0,384.22,3304.9,2018.17,22.0,2,False,World Championship,Summer
PIONEERS,Oceania,62.0,19.0,18.0,14.0,8772660.0,398.91,3641.51,2232.42,17.0,4,True,World Championship,Summer
PIRATES EXDEE,Sub-Saharan Africa,29.0,9.0,32.0,5.0,8515698.0,395.48,3964.01,1943.51,28.0,1,False,World Championship,Summer
01 ESPORTS,Middle East & North Africa,48.0,14.0,14.0,13.0,6709180.0,299.72,2799.88,1784.87,18.0,4,True,World Championship,Summer
SENBEI STRIKERS,Asia-Pacific North,22.0,6.0,27.0,6.0,6489428.0,319.17,3151.24,1393.89,5.0,0,False,World Championship,Summer
TEAM SECRET,South America,29.0,7.0,9.0,5.0,5905891.0,258.04,2522.42,1362.26,9.0,4,True,World Championship,Summer
VELOCE ESPORTS,Middle East & North Africa,14.0,1.0,12.0,1.0,6087534.0,228.35,2469.22,1432.02,14.0,0,False,World Championship,Summer
OPTIC GAMING,North America,45.0,10.0,37.0,8.0,9282007.0,389.27,3715.07,2184.38,20.0,4,True,World Championship,Summer
TEAM SECRET,South America,48.0,4.0,23.0,3.0,8864545.0,378.58,3886.19,1997.9,17.0,2,False,World Championship,Summer
THE CLUB,South America,33.0,5.0,14.0,4.0,7562698.0,371.2,3082.39,1764.69,28.0,4,True,World Championship,Summer
01 ESPORTS,Middle East & North Africa,25.0,3.0,24.0,1.0,7082281.0,282.7,3221.04,1573.34,11.0,1,False,World Championship,Summer
SPACESTATION GAMING,North America,44.0,14.0,18.0,12.0,6217870.0,273.83,2636.54,1504.34,21.0,4,True,World Championship,Summer
PIONEERS,Oceania,37.0,10.0,22.0,9.0,6034642.0,261.68,2742.79,1363.68,12.0,1,False,World Championship,Summer
MOIST ESPORTS,Europe,42.0,10.0,27.0,6.0,9077999.0,443.44,3683.16,2299.35,18.0,4,True,World Championship,Summer
SPACESTATION GAMING,North America,46.0,9.0,22.0,6.0,8848774.0,446.67,4082.32,1960.27,38.0,2,False,World Championship,Summer
ENDPOINT,Europe,63.0,19.0,32.0,18.0,12712942.0,585.12,5128.11,3424.93,34.0,3,False,World Championship,Summer
SMPR ESPORTS,Europe,59.0,20.0,41.0,17.0,12413531.0,615.9,5724.27,2791.4,22.0,4,True,World Championship,Summer
TEAM BDS,Europe,38.0,11.0,25.0,8.0,7244327.0,338.63,3259.02,1798.17,15.0,4,True,World Championship,Summer
RENEGADES,Oceania,33.0,6.0,21.0,5.0,7686408.0,347.94,3252.42,1825.1,21.0,1,False,World Championship,Summer
NRG ESPORTS,North America,32.0,2.0,18.0,2.0,7366574.0,349.66,3174.85,1606.78,18.0,0,False,World Championship,Summer
VERSION1,North America,29.0,6.0,21.0,4.0,7106542.0,357.35,3225.58,1553.15,15.0,4,True,World Championship,Summer
MOIST ESPORTS,Europe,43.0,11.0,18.0,9.0,6716920.0,314.77,2568.44,1823.51,15.0,4,True,World Championship,Summer
SMPR ESPORTS,Europe,24.0,2.0,22.0,1.0,6454317.0,262.3,2893.57,1464.95,6.0,0,False,World Championship,Summer
TEAM BDS,Europe,42.0,12.0,20.0,9.0,6716866.0,315.44,2924.85,1618.31,15.0,4,True,World Championship,Summer
VERSION1,North America,23.0,1.0,22.0,0.0,6899600.0,304.06,3019.07,1531.88,16.0,0,False,World Championship,Summer
SPACESTATION GAMING,North America,32.0,12.0,22.0,9.0,6141198.0,334.13,2626.46,1525.99,19.0,4,True,World Championship,Summer
ENDPOINT,Europe,31.0,4.0,12.0,4.0,6145280.0,303.93,2528.96,1601.94,12.0,0,False,World Championship,Summer
RENEGADES,Oceania,32.0,8.0,35.0,7.0,9078746.0,450.82,4453.33,1722.46,14.0,2,False,World Championship,Summer
NRG ESPORTS,North America,58.0,14.0,21.0,10.0,9457526.0,410.84,3715.35,2481.14,19.0,4,True,World Championship,Summer
VERSION1,North America,35.0,9.0,23.0,7.0,9030054.0,395.68,3932.33,2110.85,26.0,4,True,World Championship,Summer
SPACESTATION GAMING,North America,33.0,7.0,19.0,5.0,9030950.0,395.05,3998.9,2037.14,25.0,2,False,World Championship,Summer
SMPR ESPORTS,Europe,34.0,7.0,18.0,5.0,7474785.0,317.23,3306.3,1832.77,13.0,1,False,World Championship,Summer
NRG ESPORTS,North America,32.0,10.0,23.0,8.0,7712139.0,338.66,3449.32,1686.58,13.0,4,True,World Championship,Summer
G2 ESPORTS,North America,45.0,11.0,18.0,10.0,6567908.0,282.42,2575.25,1706.6,15.0,4,True,World Championship,Summer
OPTIC GAMING,North America,29.0,5.0,26.0,4.0,6471577.0,306.65,2875.28,1412.74,18.0,0,False,World Championship,Summer
FURIA ESPORTS,South America,33.0,13.0,23.0,12.0,7978713.0,380.3,3501.12,1774.32,9.0,4,True,World Championship,Summer
KARMINE CORP,Europe,36.0,8.0,14.0,7.0,7872070.0,429.82,3297.63,1978.85,13.0,1,False,World Championship,Summer
FAZE CLAN,North America,56.0,13.0,33.0,11.0,6736462.0,343.34,3091.23,1487.88,8.0,4,True,World Championship,Summer
THE CLUB,South America,45.0,9.0,29.0,7.0,6941411.0,331.55,2955.84,1645.91,17.0,2,False,World Championship,Summer
TEAM FALCONS,Middle East & North Africa,54.0,15.0,27.0,11.0,10199113.0,428.47,4212.44,2548.32,18.0,4,True,World Championship,Summer
DIGNITAS,Europe,42.0,7.0,30.0,5.0,9640809.0,463.85,4723.85,2050.17,22.0,2,False,World Championship,Summer
