match_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,movement_total_distance,air_time,defense_time,offense_time,demo_inflicted,score,winner,event,event_split
6159ad3d143c37878b2384bf,RANGA ROUNDUP,Oceania,36.0,6.0,25.0,5.0,8344433.0,267.93,3409.62,2070.72,8.0,2,False,Regional 1,Fall
6159ad3d143c37878b2384bf,BIG GOOSE,Oceania,44.0,8.0,23.0,7.0,8233166.0,333.65,3610.05,1910.97,21.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c1,BANDITS ESC,Oceania,31.0,13.0,15.0,9.0,4989610.0,177.85,2178.86,1179.5,10.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c1,WILDCARD GAMING,Oceania,25.0,8.0,13.0,6.0,4817524.0,205.74,2242.25,1102.17,5.0,0,False,Regional 1,Fall
6159ad3d143c37878b2384c2,RENEGADES,Oceania,9.0,4.0,10.0,3.0,2870671.0,131.6,1362.01,587.95,11.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c2,THE GROGANS,Oceania,10.0,1.0,5.0,1.0,2900258.0,109.61,1071.21,877.43,11.0,0,False,Regional 1,Fall
6159ad3d143c37878b2384c3,FORKIDDEN,Oceania,29.0,4.0,15.0,2.0,5163054.0,209.22,2319.67,1103.75,5.0,0,False,Regional 1,Fall
6159ad3d143c37878b2384c3,DIRE WOLVES,Oceania,26.0,7.0,18.0,5.0,5006610.0,234.53,2200.23,1237.19,8.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c4,VORT CENTRAL,Oceania,38.0,13.0,13.0,7.0,6178297.0,246.23,2556.32,1670.73,5.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c4,JOE,Oceania,23.0,7.0,20.0,4.0,6061797.0,268.78,2979.66,1251.84,12.0,1,False,Regional 1,Fall
6159ad3d143c37878b2384c5,RANCID RATS REBORN,Oceania,21.0,5.0,8.0,4.0,3113344.0,115.19,1305.34,820.53,5.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c5,TEAM EROS,Oceania,15.0,4.0,12.0,3.0,3105083.0,108.09,1460.38,666.57,6.0,1,False,Regional 1,Fall
6159ad3d143c37878b2384c6,TRIDENT ESPORTS,Oceania,25.0,7.0,22.0,5.0,5999464.0,213.57,2817.06,1376.9,15.0,1,False,Regional 1,Fall
6159ad3d143c37878b2384c6,BIG GOOSE,Oceania,42.0,12.0,15.0,11.0,6128021.0,245.9,2502.07,1684.78,11.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c7,VORT CENTRAL,Oceania,22.0,5.0,12.0,5.0,4374501.0,180.62,1841.07,1097.1,4.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c7,THE GROGANS,Oceania,15.0,1.0,15.0,0.0,4293153.0,184.74,1943.63,1009.57,9.0,0,False,Regional 1,Fall
6159ad3d143c37878b2384c8,FORKIDDEN,Oceania,47.0,11.0,15.0,7.0,7767350.0,274.36,3121.37,2080.38,13.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c8,BIG GOOSE,Oceania,29.0,9.0,23.0,8.0,7408392.0,347.61,3617.91,1587.68,13.0,2,False,Regional 1,Fall
6159ad3d143c37878b2384c9,RANCID RATS REBORN,Oceania,28.0,7.0,19.0,7.0,5286969.0,203.72,2346.13,1182.46,15.0,3,True,Regional 1,Fall
6159ad3d143c37878b2384c9,WILDCARD GAMING,Oceania,23.0,4.0,13.0,4.0,5062592.0,238.7,2217.1,1287.62,6.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384ca,BIG GOOSE,Oceania,36.0,9.0,12.0,7.0,5995547.0,263.08,2604.16,1544.29,7.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384ca,TISI,Oceania,21.0,8.0,22.0,6.0,5958050.0,213.29,2822.37,1344.22,13.0,2,False,Regional 1,Fall
6159ad6b143c37878b2384cb,WILDCARD GAMING,Oceania,44.0,17.0,9.0,14.0,4569588.0,224.49,1919.84,1320.63,3.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384cb,BOUGEE'S ANGELS,Oceania,15.0,3.0,18.0,3.0,4804970.0,196.13,2281.4,985.71,13.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384cd,JOE,Oceania,27.0,13.0,14.0,12.0,4628659.0,200.0,2167.87,1141.68,7.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384cd,RUST-EZE,Oceania,24.0,6.0,9.0,5.0,4662069.0,170.07,2080.21,1226.44,5.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384ce,TEAM EROS,Oceania,36.0,8.0,20.0,7.0,6006231.0,236.28,2593.07,1531.07,8.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384ce,HMS ENDEAVOR,Oceania,34.0,9.0,20.0,8.0,6033582.0,247.45,2862.84,1290.49,16.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384cf,TRIDENT ESPORTS,Oceania,22.0,2.0,12.0,1.0,4559151.0,183.29,1835.18,1191.3,9.0,0,False,Regional 1,Fall
6159ad6b143c37878b2384cf,WAZOOO,Oceania,25.0,7.0,14.0,5.0,4489709.0,132.06,2034.09,990.87,8.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d0,RANGA ROUNDUP,Oceania,48.0,10.0,26.0,3.0,11063316.0,421.35,4735.37,2515.62,16.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d0,1620 KINGS,Oceania,38.0,7.0,26.0,6.0,10711792.0,402.72,4971.2,2308.97,26.0,2,False,Regional 1,Fall
6159ad6b143c37878b2384d1,PANIK GAMING,Oceania,19.0,3.0,9.0,3.0,5770495.0,231.73,2550.07,1416.84,7.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384d1,BROS ON THEIR TOES,Oceania,19.0,9.0,13.0,6.0,5873166.0,245.15,2668.96,1314.63,12.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d2,WILDCARD GAMING,Oceania,33.0,9.0,11.0,7.0,5891398.0,286.5,2495.85,1547.38,5.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d2,RANGA ROUNDUP,Oceania,20.0,3.0,20.0,3.0,6067837.0,228.74,2786.39,1271.36,10.0,1,False,Regional 1,Fall
6159ad6b143c37878b2384d3,BIG GOOSE,Oceania,42.0,11.0,14.0,9.0,6456326.0,216.79,2910.48,1531.07,12.0,3,True,Regional 1,Fall
6159ad6b143c37878b2384d3,JOE,Oceania,33.0,9.0,25.0,7.0,6450688.0,264.64,2678.62,1755.69,12.0,1,False,Regional 1,Fall
